your_decision,doi_r,population,kind,item,action,why,claude,codex,suggested_instead,title_r,year_r,our_originals,mo_originals
,10.1093/ntr/nty218,pipeline vs Observatory,different paper,orig-128,replace,both judges agree,"mo (medium): The replicated association is the per-allele effect of the major Val (C) allele of rs6265 on smoking initiation (their OR 1.07). That matches the Tobacco and Genetics Consortium 2010 GWAS meta-analysis (Nat Genet, ng.571; OR 1.06 for rs6265 C), the source of the 'earlier reported association' with smoking initiation. Lang et al. 2006 reported the Met66 allele associated with smoking, the opposite allele. Full text was not accessible.","mo (high): The replication reports that the major Val allele of rs6265 increased smoking-initiation risk (OR 1.07), matching Answer A’s 2010 genome-wide meta-analysis, which identified the corresponding C/Val allele as increasing risk (OR 1.06). Answer B’s Lang et al. study instead reported increased smoking among Met-allele carriers, the opposite risk allele.",,Is Brain Derived Neurotrophic Factor (Bdnf) Associated With Smoking Initiation? Replication Using a Large Finnish Population Sample,2018,Association of the met66 allele of brain-derived neurotrophic factor (BDNF) with smoking (2006) doi:10.1007/s00213-006-0647-1 [llm_references],Genome-wide meta-analyses identify multiple loci associated with smoking behavior (2010) doi:10.1038/ng.571
,10.1093/rheumatology/ker444,pipeline vs Observatory,different paper,orig-129,replace,both judges agree,"mo (high): The paper replicates the authors' own microsatellite genome-wide association study of Behçet's disease in Japanese patients (six microsatellite markers), which is Meguro et al. 2010 (Ann Rheum Dis). Mizuki et al. 2010 (Nat Genet) is a SNP GWAS identifying IL23R-IL12RB2/IL10, not the microsatellite markers tested here.","mo (high): The replication paper identifies its target as the Japanese microsatellite GWAS cited as reference 8. Reference 8 is Meguro et al. (2010), “Genetics of Behcet disease inside and outside the MHC,” which is Answer A; Answer B is separately cited as a SNP-array GWAS.",,Replication of a microsatellite genome-wide association study of Behcet's disease in a Korean population,2012,Genome-wide association studies identify IL23R-IL12RB2 and IL10 as Behçet's disease susceptibility loci (2010) doi:10.1038/ng.624 [llm_references],Genetics of Behcet disease inside and outside the MHC (2010) doi:10.1136/ard.2009.108571
,10.1093/schbul/sbad161,pipeline vs Observatory,different paper,orig-131,replace,both judges agree,"mo (high): The paper sets out to conceptually replicate the analyses of the original PAUSS validation paper, which is Kästner et al. 2015 (developed and validated PAUSS in ASC and SSD samples). Deste et al. 2018 is cited only as a subsequent validation study.","mo (high): The replication paper explicitly identifies Kästner et al. as the authors of the original PAUSS validation paper and states that its main analyses conceptually replicate that study. Reference 13 is Kästner et al. (2015), “Autism beyond diagnostic categories: characterization of autistic phenotypes in schizophrenia,” which is Answer B; Deste et al. is cited only as subsequent research.","Kästner et al. (2015), BMC Psychiatry, doi:10.1186/s12888-015-0494-x",A Cross-sectional Conceptual Replication and Longitudinal Evaluation of the PANSS-Autism-Severity-Score Measure Suggests it Does Not Capture Autistic Traits in Individuals With Psychosis,2023,Looking through autistic features in schizophrenia using the PANSS Autism Severity Score (PAUSS) (2018) doi:10.1016/j.psychres.2018.10.074 [llm_references],Autism beyond diagnostic categories: characterization of autistic phenotypes in schizophrenia (2015) doi:10.1186/s12888-015-0494-x
,10.1098/rspb.2009.1765,pipeline vs Observatory,different paper,orig-132,replace,both judges agree,mo (high): The embedded-triangle (2s among 5s) task being repeated is Ramachandran & Hubbard 2001a; the methods say the experiment is based closely on it and results 'support the original findings of Ramachandran & Hubbard (2001a)'. Dixon et al. 2000 is cited only for synaesthetic colours evoked by thinking about numbers.,"mo (high): The paper explicitly identifies Ramachandran and Hubbard (2001a) as the source of the original embedded-shapes experiment and describes its own experiment as closely based on it. Dixon et al. (2000) is cited only regarding synaesthetic colours evoked by thinking about letters or numbers, not as the study being replicated.","Ramachandran & Hubbard (2001a), Proc R Soc B, doi:10.1098/rspb.2000.1576","Grapheme-colour synaesthesia improves detection of embedded shapes, but without pre-attentive ‘pop-out’ of synaesthetic colour",2009,Five plus two equals yellow (2000) doi:10.1038/35019148 [llm_references],Psychophysical investigations into the neural basis of synaesthesia (2001) doi:10.1098/rspb.2000.1576
,10.1098/rstb.2021.0459,pipeline vs Observatory,different paper,orig-133,replace,both judges agree,"mo (medium): The paper uses Aglioti et al.'s original dual-display paradigm (forced-choice same/different judgement combined with grasping) and replicates that classic dissociation. Haffenden et al. 2001 is cited as a later replication of the dissociation with added controls, not the design followed here.","mo (high): The paper identifies Aglioti et al. (1995) as introducing the classic grasping paradigm and says the current experiment followed that study’s procedure. Haffenden et al. (2001) is discussed later as support for an obstacle-avoidance account, not as the principal original being replicated.","Aglioti, DeSouza & Goodale (1995), Current Biology, doi:10.1016/s0960-9822(95)00133-3","Looking at the Ebbinghaus illusion: differences in neurocomputational requirements, not gaze-mediated attention, explain a classic perception-action dissociation",2022,The dissociation between perception and action in the Ebbinghaus illusion (2001) doi:10.1016/s0960-9822(01)00023-9 [llm_references],Size-contrast illusions deceive the eye but not the hand (1995) doi:10.1016/s0960-9822(95)00133-3
,10.1101/lm.1896010,pipeline vs Observatory,different paper,orig-134,replace,both judges agree,"mo (medium): Voss & Paller re-run the conditions of their own earlier implicit-recognition demonstrations (kaleidoscope stimuli, forced-choice, divided attention, similar foils) to re-establish accurate guessing. Jeneson et al. 2010 is the failed replication they respond to, not the original.","mo (high): The paper identifies Voss et al. (2008) as its “original report” of highly accurate guesses and tests conditions under which that finding recurs. Jeneson et al. (2010) is described as a failed replication that motivated the new manipulation, not as the original study.","Voss, Baym & Paller (2008), Learning & Memory, doi:10.1101/lm.971208",What makes recognition without awareness appear to be elusive? Strategic factors that influence the accuracy of guesses,2010,Recognition without awareness: An elusive phenomenon (2010) doi:10.1101/lm.1815010 [llm_references],Accurate forced-choice recognition without awareness of memory retrieval (2008) doi:10.1101/lm.971208
,10.1111/bjdp.12216,pipeline vs Observatory,different paper,orig-135,replace,both judges agree,"mo (high): The paper states repeatedly that it is a close replication of Mireault et al. (2014), the 6- and 12-month social-referencing/humour study, with younger infants. The 2015 JECP paper is cited but not named as the replicated study.","mo (high): The introduction explicitly describes the two longitudinal studies as a close replication of Mireault et al. (2014). The discussion again says the studies replicated that work, particularly its finding that infants independently appraise absurd events as humorous.","Mireault et al. (2014), Infant Behavior and Development, doi:10.1016/j.infbeh.2014.06.004","Social, cognitive, and physiological aspects of humour perception from 4 to 8 months: Two longitudinal studies",2017,Laughing matters: Infant humor in the context of parental affect (2015) doi:10.1016/j.jecp.2015.03.012 [llm_references],"Social looking, social referencing and humor perception in 6-and 12-month-old infants (2014) doi:10.1016/j.infbeh.2014.06.004"
,10.1111/desc.13399,pipeline vs Observatory,different paper,orig-136,replace,both judges agree,"mo (medium): The replicated findings (shape bias in novel noun generalization and its relation to productive noun vocabulary) follow Samuelson & Smith 1999: same 17-31-month age range, same novel words, and the vocabulary relation is attributed to it. Smith et al. 2002 is a training study cited for theory, not re-tested.","mo (high): The paper re-tests the noun-generalization shape bias and its relationship with productive noun vocabulary, explicitly linking these analyses to Samuelson and Smith (1999). Smith et al. (2002) is cited for an explanatory proposal and attention-training findings, not as the study whose experimental result is directly replicated here.","Samuelson & Smith (1999), Cognition, doi:10.1016/s0010-0277(99)00034-7",Vocabulary and automatic attention: The relation between novel words and gaze dynamics in noun generalization,2023,Object name learning provides on-the-job training for attention (2002) doi:10.1111/1467-9280.00403 [llm_title_search],"Early noun vocabularies: Do ontology, category structure and syntax correspond? (1999) doi:10.1016/s0010-0277(99)00034-7"
,10.1111/spsr.12479,pipeline vs Observatory,different paper,orig-140,replace,both judges agree,mo (high): The replicated March 2020 US MTurk experiment with an educational correction of exponential growth bias raising support for social distancing is Lammers et al. 2020. Banerjee is cited only as background evidence that the bias exists.,"mo (high): The full text explicitly identifies Lammers et al. (2020) as the replicated study and says the new experiment adapts its analysis. It further specifies that the design resembles Study 3 of Lammers and colleagues, making Answer B correct; Banerjee et al. is cited but is not identified as the replication target.","Lammers, Crusius & Gast (2020), PNAS, doi:10.1073/pnas.2006048117",Boosting the Understanding and Approval of Anti‐Corona Measures–Reducing Exponential Growth Bias and its Effects through Educational Nudges,2021,Exponential-growth prediction bias and compliance with safety measures related to COVID-19 (2020) doi:10.1016/j.socscimed.2020.113473 [llm_references],Correcting misperceptions of exponential coronavirus growth increases support for social distancing (2020) doi:10.1073/pnas.2006048117
,10.1167/8.1.1,pipeline vs Observatory,different paper,orig-141,replace,both judges agree,"mo (medium): The abstract names Webster & MacLin 1999 as the source of the face adaptation effect in general, but the replicated finding (adaptation to ethnicity, gender, and their combination) is Webster et al. 2004, and the methods call Experiment 1 a replication of it.","mo (high): Experiment 1 explicitly identifies Webster et al. (2004) as the study being replicated and retests its finding that adaptation to female faces makes a neutral face appear male, and vice versa. Webster and MacLin (1999) is cited as the first demonstration of configural face aftereffects, not as the specific experiment replicated here.","Webster, Kaping, Mizokami & Duhamel (2004), Nature, doi:10.1038/nature02420",Face adaptation does not improve performance on search or discrimination tasks,2008,Figural aftereffects in the perception of faces (1999) doi:10.3758/bf03212974 [llm_cited_candidates],Adaptation to natural facial categories (2004) doi:10.1038/nature02420
,10.1177/153944928900900404,pipeline vs Observatory,different paper,orig-143,replace,both judges agree,"mo (high): The direct replication (OTJR 9(4)) re-runs Barnes's earlier 1989 study (OTJR 9(3)): same title, 3 boys, weight bearing and prehension, and that study ends by calling for direct replication. The 1986 paper was a preliminary study that also tested trunk rotation, with children of both sexes.","mo (high): The direct replication appeared in volume 9, issue 4 (pp. 235–242) and refers to a previous study by the same investigator. Answer B is Barnes’s immediately preceding volume 9, issue 3 study (pp. 143–154) with the matching title and intervention; the broader 1986 study in A was an earlier precursor rather than the study directly replicated here.","Barnes (1989), OTJR 9(3):143-154, doi:10.1177/153944928900900302",Direct Replication: Relationship of Upper Extremity Weight Bearing to Hand Skills of Boys with Cerebral Palsy,1989,Improving Prehension Skills of Children with Cerebral Palsy: A Clinical Study (1986) doi:10.1177/153944928600600404 [llm_references],Relationship of upper extremity weight bearing to hand skills of boys with cerebral palsy (1989) doi:10.1177/153944928900900302
,10.1177/1948550619887702,pipeline vs Observatory,different paper,orig-144,replace,both judges agree,"mo (high): The abstract says the paper is a multilab replication of 'a recent preregistered experiment with the Stroop task as the depleting task and the antisaccade task as the outcome task', which is Dang et al. (2017). Hagger et al. (2016) was itself an RRR that used a letter-crossing task, so it is not what this paper replicates.","mo (high): The full text identifies Dang et al. (2017) as the experiment being replicated and states that the replication used the same experimental procedure. Hagger et al. (2016) is discussed as an earlier multilab project that the present study sought to complement, not as its target original study.","The ego could be depleted, providing initial exertion is depleting: A pre-registered experiment of ego depletion — Dang, Liu, Liu, and Mao (2017), doi:10.1027/1864-9335/a000308",A Multilab Replication of the Ego Depletion Effect,2020,A Multilab Preregistered Replication of the Ego-Depletion Effect (2016) doi:10.1177/1745691616652873 [llm_references],"The ego could be depleted, providing initial exertion is depleting: A pre-registered experiment of ego depletion (2017) doi:10.1027/1864-9335/a000308"
,10.1186/s12881-014-0102-9,pipeline vs Observatory,different paper,orig-145,replace,both judges agree,"mo (high): The introduction says the 24 signals come from the authors' earlier evaluation of 82 candidate genes in the Irish cohort, cited as ref 45 (Pangilinan et al. 2012). Carter et al. (ref 44, the 64-SNP study) is cited only as one of several earlier candidate studies.","mo (high): The paper says that its 24 tested signals resulted from the authors’ earlier evaluation of 82 candidate genes, cited as reference 45. Reference 45 is the 2012 Pangilinan et al. study named in Answer B; the Carter et al. study in Answer A is reference 44, not the identified primary study.","Pangilinan et al. (2012), Evaluation of common genetic variants in 82 candidate genes as risk factors for neural tube defects, doi:10.1186/1471-2350-13-62",Replication and exploratory analysis of 24 candidate risk polymorphisms for neural tube defects,2014,Evaluation of 64 candidate single nucleotide polymorphisms as risk factors for neural tube defects in a large Irish study population (2010) doi:10.1002/ajmg.a.33755 [llm_references],Evaluation of common genetic variants in 82 candidate genes as risk factors for neural tube defects (2012) doi:10.1186/1471-2350-13-62
,10.1186/s40359-021-00536-3,pipeline vs Observatory,different paper,orig-146,replace,both judges agree,"mo (medium): Experiments 1-2 conceptually replicate the initial doorway demonstration [15] (Radvansky & Copeland 2006, 'Radvansky and colleagues' study design'). Experiments 3-4 replicate the real-life doorway effects [16] (Radvansky, Krawietz & Tamplin 2011). Lawrence & Peterson (2016) is cited only as the source of the curtain set-up. The packet has no reference list, so the reference numbers are mapped from context.","mo (high): The paper explicitly says Experiments 1 and 2 conceptually replicate the initial demonstration of the doorway effect, cited as reference [15], which is Radvansky and Copeland (2006). It also states that Experiments 3 and 4 replicate real-life doorway experiments cited as [16], Radvansky, Krawietz, and Tamplin (2011). Lawrence and Peterson (2016) influenced the curtain setup, but the paper does not identify their imagined-navigation study as the principal original being replicated.",,Doorways do not always cause forgetting: a multimodal investigation,2021,Mentally walking through doorways causes forgetting: The location updating effect and imagination (2016) doi:10.1080/09658211.2014.980429 [llm_title_search],Walking through doorways causes forgetting: situation models and experienced space (2006) doi:10.3758/bf03193261 || Walking through doorways causes forgetting: further explorations (2011) doi:10.1080/17470218.2011.571267
,10.1207/s15327906mbr0104_1,pipeline vs Observatory,different paper,orig-147,replace,both judges agree,"mo (medium): The paper replicates the child behavioral-characteristics rating study with foster children and compares its cluster scores with the outpatient-clinic children. That outpatient sample is Borgatta & Fanshel (1965/66), which is in the reference list. Borgatta (1960) is a methodological paper on adult rankings and self-assessments. Full text was not accessible, so this rests on the abstract and the Crossref reference list.",mo (high): The replication paper applies the child-behavior ratings to foster children and explicitly compares their cluster scores with those of outpatient children. This matches Borgatta and Fanshel’s 1965 study of children known to psychiatric outpatient clinics; Answer A concerns rankings and self-assessments rather than this child clinical-rating research.,,Behavioral Characteristics Of Children : Replication Studies With Foster Children,1966,Rankings and Self-Assessments: Some Behavioral Characteristics Replication Studies (1960) doi:10.1080/00224545.1960.9922085 [llm_references],"Behavioral Characteristics of Children Known to Psychiatric Out-Patient Clinics (with special attention to adoption status, sex, and age groupings) (1965) doi:https://www.semanticscholar.org/paper/5d24c35f98ff47ea75bbe72fd8dc0adcf4de501d"
,10.1371/journal.pgen.1011192,pipeline vs Observatory,different paper,orig-148,replace,both judges agree,"mo (high): The known associations tested come from the HGI release 7 meta-analysis (the B1 hospitalisation contrast, with HostSeq samples removed), cited as Kanai et al. 2023, 'A second update on mapping the human genetic architecture of COVID-19'. The 2021 first HGI paper is not the source of the loci replicated.","mo (high): The methods state that the replication used the non-overlapping HGI version 7 results, called HGI7no. The paper identifies the HGI v7/current release as reference 8, Kanai et al. (2023), “A second update on mapping the human genetic architecture of COVID-19,” which is Answer A; the 2021 study in Answer B is cited only as earlier related work.",,Canadian COVID-19 host genetics cohort replicates known severity associations,2024,Mapping the human genetic architecture of COVID-19 (2021) doi:10.1038/s41586-021-03767-x [llm_references],A second update on mapping the human genetic architecture of COVID-19 (2023) doi:10.1038/s41586-023-06355-3
,10.1371/journal.pone.0194101,pipeline vs Observatory,different paper,orig-151,replace,both judges agree,"mo (high): Study 2 is an explicit conceptual replication of Furlanetto et al. (2016). Study 1 uses and reports replicating the Samson et al. (2010) dot perspective-taking effect. Santiesteban et al. (2014) supplies the arrow contrast, but the paper does not frame it as the target of replication.","mo (high): The paper explicitly says that Study 1 replicated the effect documented by Samson et al., while Study 2 was a conceptual replication of Furlanetto et al.'s goggles study. Santiesteban et al. is discussed as related prior evidence concerning arrows and domain-general processing, but the authors do not identify it as the study they set out to replicate.","Dana Samson et al. (2010), “Seeing it their way: Evidence for rapid and involuntary computation of what other people see,” DOI: 10.1037/a0018729; and Tiziano Furlanetto et al. (2016), “Altercentric interference in level 1 visual perspective taking reflects the ascription of mental states, not submentalizing,” DOI: 10.1037/xhp0000138.",Does altercentric interference rely on mentalizing?: Results from two level-1 perspective-taking tasks,2018,Avatars and arrows: Implicit mentalizing or domain-general processing? (2014) doi:10.1037/a0035175 [llm_title_search],"Seeing it their way: Evidence for rapid and involuntary computation of what other people see (2010) doi:10.1037/a0018729 || Altercentric interference in level 1 visual perspective taking reflects the ascription of mental states, not submentalizing (2016) doi:10.1037/xhp0000138"
,10.1371/journal.pone.0262902,pipeline vs Observatory,different paper,orig-153,replace,both judges agree,"mo (medium): The stated replication aims are the trait BAS and anticipatory-pleasure correlations with effort allocation, reported by Geaney et al. (2015) and Ohmann et al. (2020) (refs 23-24), plus split-half reliability. Treadway et al. (2009) introduced the task but is not named as the finding being replicated.","mo (high): The paper explicitly identifies the trait–task correlations reported for the original EEfRT by Geaney et al. (2015) and for the modified EEfRT by Ohmann et al. (2020), then states that it seeks to replicate them. Treadway et al. (2009) introduced the original task, but it is not the specific antecedent cited for this replication objective.",,Examining the reliability and validity of two versions of the Effort-Expenditure for Rewards Task (EEfRT),2022,Worth the ‘EEfRT’? The Effort Expenditure for Rewards Task as an Objective Measure of Motivation and Anhedonia (2009) doi:10.1371/journal.pone.0006598 [llm_references],Trait anticipatory pleasure predicts effort expenditure for reward (2015) doi:10.1371/journal.pone.0131357 || A low dosage of the dopamine D2-receptor antagonist sulpiride affects effort allocation for reward regardless of trait extraversion (2020) doi:10.1017/pen.2020.7
,10.1523/eneuro.0332-19.2020,pipeline vs Observatory,different paper,orig-154,replace,both judges agree,"mo (high): The paper uses the authors' own Shank3 mutant line and replicates the behaviours they reported earlier in Jaramillo et al. (2017), Autism Research. Peça et al. (2011) is a different Shank3 model from another lab.","mo (high): The paper explicitly describes the Shank3E13 mutant as originating in Jaramillo et al. (2017) and presents the mutant control cohorts as a replication of that study’s behavioral findings. Peça et al. (2011) used a similar model whose findings were validated by the 2017 study, but it is not the direct original being re-tested here.",,Early Restoration of<i>Shank3</i>Expression in<i>Shank3</i>Knock-Out Mice Prevents Core ASD-Like Behavioral Phenotypes,2020,Shank3 mutant mice display autistic-like behaviours and striatal dysfunction (2011) doi:10.1038/nature09965 [llm_references],Novel Shank3 mutant exhibits behaviors with face validity for autism and altered striatal and hippocampal function (2017) doi:10.1002/aur.1664
,10.1534/g3.117.300366,pipeline vs Observatory,different paper,orig-155,replace,both judges agree,"mo (high): The paper includes an explicit replication, using identical NanoString probes, of the two common chromosome 21 CNVs reported by Sailani et al. (2013). Ramachandran et al. is the same group's earlier genome-wide CNV study, which is background rather than a replication target.","mo (high): The paper explicitly describes its work as an independent replication of Sailani et al. (2013), whose two reported chromosome 21 CNV associations it retested. Ramachandran et al. is cited as the authors’ prior study and is not the target of this replication.","Sailani et al. (2013), “The complex SNP and CNV genetic architecture of the increased risk of congenital heart defects in Down syndrome,” doi:10.1101/gr.147991.112",Analysis of Copy Number Variants on Chromosome 21 in Down Syndrome-Associated Congenital Heart Defects,2017,Contribution of copy-number variation to Down syndrome–associated atrioventricular septal defects (2014) doi:10.1038/gim.2014.144 [llm_references],The complex SNP and CNV genetic architecture of the increased risk of congenital heart defects in Down syndrome (2013) doi:10.1101/gr.147991.112
,10.16910/jemr.12.4.10,pipeline vs Observatory,different paper,orig-156,replace,both judges agree,"mo (high): The N=13 study showing that binocular advantages depend on heterophoria is Jainta & Jaschinski [15] (IOVS 2012), and the present study is a large-scale replication of it. Jainta, Blythe & Liversedge (2014) is a different paper on binocular advantages.","mo (high): The introduction explicitly identifies Jainta and Jaschinski’s 13-participant study as the prior work linking binocular reading advantages to horizontal heterophoria. It then describes the present study as a large-scale replication of that effect, whereas the 2014 paper is cited for a different finding concerning lexical identification and word frequency.","Jainta & Jaschinski (2012), “Individual differences in binocular coordination are uncovered by directly comparing monocular and binocular reading conditions,” doi:10.1167/iovs.12-9707",Binocular advantages in reading revisited: attenuating effects of individual horizontal heterophoria,2019,Binocular Advantages in Reading (2014) doi:10.1016/j.cub.2014.01.014 [llm_references],Individual differences in binocular coordination are uncovered by directly comparing monocular and binocular reading conditions (2012) doi:10.1167/iovs.12-9707
,10.2466/pr0.1990.66.2.407,pipeline vs Observatory,different paper,orig-158,replace,both judges agree,"mo (medium): The abstract describes the earlier study as one where college women psychologically similar to anorexics overestimated body size only if thin, which matches Heilbrun & Friedberg's 'Distorted body image in normal college women' (cited in press). Heilbrun & Flodin 1989 is about food cues and perceptual distortion, a different question.","mo (high): The replicated finding described in the paper’s abstract—body-size overestimation among relatively thin college women with anorexic-like personality characteristics—matches the study by Heilbrun and Friedberg. The publisher’s reference list identifies that paper as in press, whereas Heilbrun and Flodin studied distortion induced by food cues, a different finding.","Heilbrun, A. B., Jr., & Friedberg, L. (1990). Distorted body image in normal college women: possible implications for the development of anorexia nervosa. DOI: 10.1002/1097-4679(199007)46:4<398::AID-JCLP2270460404>3.0.CO;2-5",Distorted Body Image as a Risk Factor in Anorexia Nervosa: Replication and Clarification,1990,Food cues and peceptual distortion of the female body: Implications for food avoidance in the early dynamics of anorexia nervosa (1989) doi:10.1002/1097-4679(198911)45:6<843::aid-jclp2270450603>3.0.co;2-4 [llm_references],Distorted body image in normal women: implications for the development of anorexia nervosa (1990) doi:10.1002/1097-4679(199007)46:4<398::aid-jclp2270460404>3.0.co;2-5
,10.2466/pr0.94.2.733-735,pipeline vs Observatory,different paper,orig-160,replace,both judges agree,"mo (high): The paper replicates 'a recent study' by the same group on self-defeating personality and EMBU memories of parenting: Pezzarossa, Della Rosa & Rubino (2002, Psychological Reports 91, 436-438), which is in its reference list. Williams & Schill 1993 is background on attachment histories.","mo (high): Answer A names the 2002 study by Pezzarossa, Della Rosa, and Rubino that used the same scales and reported the sex-specific parental-rearing correlations re-tested in the larger 2004 sample. Answer B concerns attachment histories and is not the study described as being replicated. The DOI in A is slightly misstated; the original’s indexed DOI is 10.2466/pr0.2002.91.2.436.",,Self-Defeating Personality and Memories of Parents' Child-Rearing Behaviour: A Replication,2004,Attachment Histories for People with Characteristics of Self-Defeating Personality (1993) doi:10.2466/pr0.1993.73.3f.1232 [llm_references],Self-defeating personality and memories of parents' child-rearing behaviour (2002) doi:10.2466/pr0.91.6.436-438
,10.2466/pr0.95.3f.1059-1071,pipeline vs Observatory,different paper,orig-161,replace,both judges agree,"mo (medium): MacIntyre (1994) is a theoretical proposal of the model and contains no empirical study. MacIntyre & Noels (1996) is the empirical test that predicted use of the 50 SILL strategies from knowledge, reason-to-use and difficulty ratings, and it gave the revised model. The present study repeats that empirical test with regression and discusses 'MacIntyre and Noels' thesis ... in their revised model'. So the empirical original being replicated is the 1996 study, though the 1994 model is its theoretical basis.","mo (high): Hsiao repeats the empirical test conducted by MacIntyre and Noels (1996): predicting use of the same 50 strategies from knowledge, reasons to use, and reasons not to use them. MacIntyre (1994) introduced the theoretical model, but the replication directly re-tests the later empirical study and its revised model.",,Testing a Social Psychological Model of Strategy Use with Students of English as a Foreign Language,2004,Toward a Social Psychological Model of Strategy Use (1994) doi:10.1111/j.1944-9720.1994.tb01201.x [llm_references],Using social-psychological variables to predict the use of language learning strategies (1996) doi:10.1111/j.1944-9720.1996.tb01249.x
,10.3109/07357907.2011.630052,pipeline vs Observatory,different paper,orig-162,replace,both judges agree,"mo (high): The association of GPC5 rs2352028 with lung cancer in never-smokers was first reported by the GWAS of Li et al. (2010, Lancet Oncology). Landi et al. (2010) was itself a follow-up or replication letter on that variant. Both are in the reference list, but the finding under replication originates with Li et al.",mo (high): The paper explicitly identifies rs2352028 as originally discovered in the GWAS by Li and colleagues and says that it attempted to replicate Li et al.’s association. Landi et al. is described separately as a later meta-analysis whose null finding the replication data supported.,"Li et al. (2010), “Genetic variants and risk of lung cancer in never smokers: a genome-wide association study,” DOI: 10.1016/S1470-2045(10)70042-5",<i>GPC5</i>rs2352028 Polymorphism and Risk of Lung Cancer in Han Chinese,2012,GPC5 rs2352028 variant and risk of lung cancer in never smokers (2010) doi:10.1016/s1470-2045(10)70096-6 [llm_references],Genetic variants and risk of lung cancer in never smokers: a genome-wide association study (2010) doi:10.1016/s1470-2045(10)70042-5
,10.3389/fpsyg.2017.02362,pipeline vs Observatory,different paper,orig-165,replace,both judges agree,mo (high): The paper frames its experiment as replicating the do-gooder derogation pattern of Zane et al. (2016) and adding a boundary condition. Monin et al. (2008) is cited mainly as the source of the evaluation items and the effect sizes used for the power analysis.,"mo (high): The paper repeatedly identifies Zane et al. (2016) as the recent work whose do-gooder-derogation finding it reproduces and extends with a boundary condition. Monin et al. (2008) supplied procedures and related theory, but the paper does not characterize it as the focal original study being replicated.","Zane, Irwin, and Reczek (2016), “Do Less Ethical Consumers Denigrate More Ethical Consumers? The Effect of Willful Ignorance on Judgments of Others,” doi:10.1016/j.jcps.2015.10.002",When Do Morally Motivated Innovators Elicit Inspiration Instead of Irritation?,2018,The rejection of moral rebels: Resenting those who do the right thing (2008) doi:10.1037/0022-3514.95.1.76 [llm_title_search],Do less ethical consumers denigrate more ethical consumers? The effect of willful ignorance on judgments of others (2016) doi:10.1016/j.jcps.2015.10.002
,10.3389/fpsyg.2019.01381,pipeline vs Observatory,different paper,orig-166,replace,both judges agree,"mo (high): The stated replication aim is Diessner et al. (2013): Engagement with Moral Beauty as a moderator of state elevation. The paper also tests, and fails to replicate, the double dissociation of Hilbig et al. (2013) between H-H/Agreeableness and dictator/ultimatum behaviour. Thomson & Siegel (2013) is cited for stimulus moderators and is not a replication target.","mo (high): The paper explicitly identifies Diessner et al. (2013), “Who engages with moral beauty?”, as the study it intends to replicate. Hilbig et al. (2013), also listed in B, supplies background on active versus reactive cooperation but is not presented as the replication target; nevertheless, B is correct because it includes the explicitly named original, whereas A does not.",,Moral Elevation and Economic Games: The Moderating Role of Personality,2019,"A moral act, elevation, and prosocial behavior: Moderators of morality (2013) doi:10.1080/17439760.2012.754926 [llm_references]",Who engages with moral beauty? (2013) doi:10.1080/03057240.2013.785941 || It takes two: honesty-humility and agreeableness differentially predict active versus reactive cooperation (2013) doi:10.1016/j.paid.2012.11.008
,10.3389/fpsyg.2022.932592,pipeline vs Observatory,different paper,orig-167,replace,both judges agree,"mo (high): The finding under test (rest and 2-back equal, rest + sounds worse), and the encoding material reused in Experiment 2, come from Varma et al. (2018, PLoS One). The paper cites Varma et al. (2017) separately.","mo (high): The paper repeatedly identifies Varma et al. (2018) as its replication target, including explicitly describing Experiment 1 as a conceptual replication and Experiment 2 as a closer replication. Its reference list identifies that study as “Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation,” matching Answer A; the 2017 paper in Answer B is cited as background rather than the direct replication target.",,The effects of wakeful rest on memory consolidation in an online memory study,2022,Non-Interfering Effects of Active Post-Encoding Tasks on Episodic Memory Consolidation in Humans (2017) doi:10.3389/fnbeh.2017.00054 [llm_references],Promotion and suppression of autobiographical thinking differentially affect episodic memory consolidation (2018) doi:10.1371/journal.pone.0201780
,10.5296/ijhrs.v10i3.16907,pipeline vs Observatory,different paper,orig-169,replace,both judges agree,"mo (high): The paper replicates Tatman (2019) on the CH-PA's internal consistency and concurrent validity against the NEO PI-R. That matches Tatman's single-author 2019 'Initial Reliability and Validity for the Critical Hire - Personality Assessment' (10.1080/23774657.2019.1699477). Answer A's DOI resolves to Tatman & Huss (2020) on the Critical Hire-Screen, a different instrument.","mo (high): The replication paper explicitly identifies Tatman (2019) as the study it replicates. Its reference list gives Anthony W. Tatman as the sole author and DOI 10.1080/23774657.2019.1699477, matching Answer B; Answer A describes a different Tatman and Huss paper about the Critical Hire-Screen.",,Internal Consistency and Concurrent Validity for the Critical Hire-Personality Assessment: A Replication Study with Correctional Officers,2020,Initial Reliability and Validity for the Critical Hire - Personality Assessment (2019) doi:10.25035/pad.2020.01.003 [llm_cited_candidates],Initial reliability and validity of the Critical Hire-Personality Assessment (2019) doi:10.1080/23774657.2019.1699477
