category,field,value_as_given,observatory_records,n_records,replication_ids,stated_title,registry_title,suggested_doi,evidence
retraction notice,original_url,https://doi.org/10.1001/jamapsychiatry.2020.1367,3365,1,https://doi.org/10.1371/journal.pone.0277158,Association between childhood anhedonia and alterations in large-scale resting-state networks and task-evoked activation,Notice of Retraction and Replacement. Pornpattananangkul et al. Association between childhood anhedonia and alterations in large-scale resting-state networks and task-evoked activation. <i>JAMA Psychiatry</i>. 2019;76(6):624-633,10.1001/jamapsychiatry.2019.0020,Crossref registers this DOI as a retraction of 10.1001/jamapsychiatry.2019.0020
unresolvable DOI,original_url,https://doi.org/10.1007/s00406-022-01461-w,"2479, 2480, 2481",3,https://doi.org/10.1186/s13098-023-01044-7,Cardiometabolic risk indicators in individuals with bipolar disorder: a longitudinal case-control study,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1016/0028-3932(92)90144-4,5266,1,https://doi.org/10.1080/13554799908415478,"Spatio-motor cueing in unilateral left neglect: the role of hemispace, hand and motor activation",,10.1016/0028-3932(92)90058-t,Crossref 404 and doi.org reports the handle does not exist; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI does not resolve to a registered work (malformed or wrong)
unresolvable DOI,original_url,https://doi.org/10.1016/0191-8869(89)90238-7,7255,1,https://doi.org/10.1177/0956797619831612,,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1016/1054-139X(94)90042-6,7254,1,https://doi.org/10.1177/0956797619831612,,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1016/S0191-8869(97)00198-2,7253,1,https://doi.org/10.1177/0956797619831612,,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1016/j.beth.2007.08.009,3995,1,https://doi.org/10.3389/fpsyg.2016.00994,Rumination and self-injurious behaviors in borderline personality disorder,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1038/scep05340,6595,1,https://doi.org/10.18413/2658-6533-2020-6-2-0-4,Novel common variants susceptible haplotype for exfoliation glaucoma specific to Asian population,,10.1038/srep05340,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1038/srep05340 (“Novel common variants and susceptible haplotype for exfoliation glaucoma specific to Asian population”)
unresolvable DOI,original_url,https://doi.org/10.1056/nejmc1414754,5356,1,https://doi.org/10.1016/j.fct.2017.08.044,Hidden formaldehyde in e-cigarette aerosols,,10.1056/nejmc1413069,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1056/nejmc1413069 (“Hidden Formaldehyde in E-Cigarette Aerosols”)
unresolvable DOI,original_url,https://doi.org/10.1073/pnas.2300949100,5154,1,https://doi.org/10.1073/pnas.0408670102,Haplotype-based identification of a microsomal transfer protein marker associated with the human lifespan,,10.1073/pnas.1936249100,Crossref 404 and doi.org reports the handle does not exist; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI does not resolve to a registered work (malformed or wrong)
unresolvable DOI,original_url,https://doi.org/10.1093/schbul/sbi021,2455,1,https://doi.org/10.1017/s0033291720003578,Data gathering: biased in psychosis?,,10.1093/schbul/sbj021,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1093/schbul/sbj021 (“Data Gathering: Biased in Psychosis?”)
unresolvable DOI,original_url,https://doi.org/10.1097/QAD.0b013e32833d4237,2489,1,https://doi.org/10.1371/journal.pone.0226237,The Regai Dzive Shiri Project: results of a randomised trial of an HIV prevention intervention for Zimbabwean youth,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1109/icse.2013.6606538,5850,1,https://doi.org/10.1145/2652524.2652581,Measuring architecture quality by structure plus history analysis,,10.1109/icse.2013.6606638,"Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1109/icse.2013.6606638 (“Measuring architecture quality by structure plus history analysis”) — a proceedings article, not necessarily the version of record"
unresolvable DOI,original_url,https://doi.org/10.1111/1467-6494.t01-1-00090,"7245, 7246, 7247, 7248, 7249, 7250, 7251, 7252",8,https://doi.org/10.1177/0956797619831612,,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1111/1467-9280.t2-01-01,"2461, 2462, 2463, 2464",4,https://doi.org/10.1098/rsos.250669,Partition priming in judgment under uncertainty,,10.1111/1467-9280.02431,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1111/1467-9280.02431 (“Partition Priming in Judgment Under Uncertainty”)
unresolvable DOI,original_url,https://doi.org/10.1111/cdev.130,7170,1,https://doi.org/10.5964/jnc.7033,Associations of number line estimation with mathematical competence: A meta-analysis,,10.1111/cdev.13068,Crossref 404 and doi.org reports the handle does not exist; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI does not resolve to a registered work (malformed or wrong)
unresolvable DOI,original_url,https://doi.org/10.1111/j.1467-9922.2012.00729,5790,1,https://doi.org/10.1111/lang.12621,Incidental learning of collocation,,10.1111/j.1467-9922.2012.00729.x,Crossref 404 and doi.org reports the handle does not exist; same-title comparison (FLoRA vs Observatory): A: article of record · B: DOI does not resolve to a registered work (malformed or wrong)
unresolvable DOI,original_url,https://doi.org/10.1161/circulationaha.105.576533,6666,1,https://doi.org/10.2217/pgs.15.162,NAD(P)H oxidase and multidrug resistance protein genetic polymorphisms are associated with doxorubicin-induced cardiotoxicity,,10.1161/circulationaha.105.576850,Crossref 404 and doi.org reports the handle does not exist; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI does not resolve to a registered work (malformed or wrong)
unresolvable DOI,original_url,https://doi.org/10.1177/0022427812448399,2426,1,https://doi.org/10.1007/s11292-017-9305-3,The causal impact of exposure to deviant peers: an experimental investigation,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1177/0956797610395708,2475,1,https://doi.org/10.1177/1745691615605826,Learning about what others were doing: Verb aspect and attributions of mundane and criminal intent for past actions,,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,original_url,https://doi.org/10.1177/216770261875768,3958,1,https://doi.org/10.3758/s13423-019-01641-6,Lateral eye movements increase false memory rates,,10.1177/2167702618757658,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1177/2167702618757658 (“Lateral Eye Movements Increase False Memory Rates”)
unresolvable DOI,original_url,https://doi.org/10.1177/2f10986111211035002,7494,1,https://doi.org/10.1080/15614263.2022.2102494,Can We Really Defund the Police? A Nine-Agency Study of Police Response to Calls for Service,,10.1177/10986111211035002,Crossref 404 and doi.org reports the handle does not exist; 10.1177/10986111211035002 (the same string repaired) resolves to “Can We Really Defund the Police? A Nine-Agency Study of Police Response to Calls for Service”
unresolvable DOI,original_url,https://doi.org/10.1257/aer.83.4.685,1337,1,https://doi.org/10.1257/aer.100.1.572,Earnings Losses of Displaced Workers,,10.17848/wp92-11,"Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.17848/wp92-11 (“Earnings Losses of Displaced Workers”) — a report, not necessarily the version of record"
unresolvable DOI,original_url,https://doi.org/10.1371/journal.pone.036473,6797,1,https://doi.org/10.3389/fgene.2020.456661,Multi-ethnic analysis of lipid-associated loci: the NHLBI CARe project,,10.1371/journal.pone.0036473,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1371/journal.pone.0036473 (“Multi-Ethnic Analysis of Lipid-Associated Loci: The NHLBI CARe Project”)
unresolvable DOI,original_url,https://doi.org/10.18053/jctres.05.202004.003,5072,1,https://doi.org/10.1038/s41598-021-80995-1,"Loss of consciousness, but not etiology, predicts better working memory performance years after concussion",,10.18053/jctres.05.2020s4.003,"Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.18053/jctres.05.2020s4.003 (“Loss of consciousness, but not etiology, predicts better working memory performance years after concussion”)"
unresolvable DOI,original_url,https://doi.org/10.2190/de.39.3,6549,1,https://doi.org/10.15288/jsad.2016.77.958,"Conscientiousness, protective behavioral strategies, and alcohol use: testing for mediated effects",,10.2190/de.39.3.d,"Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.2190/de.39.3.d (“Conscientiousness, Protective Behavioral Strategies, and Alcohol Use: Testing for Mediated Effects”)"
unresolvable DOI,original_url,https://doi.org/10.2190/de.42.4,6547,1,https://doi.org/10.15288/jsad.2016.77.958,Unique direct and indirect effects of impulsivity-like traits on alcohol-related outcomes via protective behavioral strategies,,10.2190/de.42.4.d,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.2190/de.42.4.d (“Unique Direct and Indirect Effects of Impulsivity-Like Traits on Alcohol-Related Outcomes via Protective Behavioral Strategies”)
unresolvable DOI,replication_url,https://doi.org/10.1023/a/1021350122677,7279,1,https://doi.org/10.1023/a/1021350122677,,,10.1023/a:1021350122677,Crossref 404 and doi.org reports the handle does not exist; 10.1023/a:1021350122677 (the same string repaired) resolves to “Influences Upon Organizational Ethical Subclimates: A Replication Study of a Single Firm at Two Points in Time”
unresolvable DOI,replication_url,https://doi.org/10.1023/a/1021980002473,4922,1,https://doi.org/10.1023/a/1021980002473,"The ADHD response-inhibition deficit as measured by the stop task: replication with DSM-IV combined type, extension, and qualification.",,10.1023/a:1021980002473,"Crossref 404 and doi.org reports the handle does not exist; 10.1023/a:1021980002473 (the same string repaired) resolves to “The ADHD Response-Inhibition Deficit as Measured by the Stop Task: Replication with DSM–IV Combined Type, Extension, and Qualification”"
unresolvable DOI,replication_url,https://doi.org/10.1023/a/1024802004564,4923,1,https://doi.org/10.1023/a/1024802004564,Replication and extension of a risk profile for Amerasian youth.,,10.1023/a:1024802004564,Crossref 404 and doi.org reports the handle does not exist; 10.1023/a:1024802004564 (the same string repaired) resolves to “”
unresolvable DOI,replication_url,https://doi.org/10.1023/a_1018769825030,4924,1,https://doi.org/10.1023/a_1018769825030,A research induction group for clients entering a mental health research project: a replication study.,,10.1023/a:1018769825030,Crossref 404 and doi.org reports the handle does not exist; 10.1023/a:1018769825030 (the same string repaired) resolves to “A Research Induction Group for Clients Entering aMental Health Research Project: A ReplicationStudy”
unresolvable DOI,replication_url,https://doi.org/10.1023/a_1018789218611,4925,1,https://doi.org/10.1023/a_1018789218611,Statewide replication of predictive validation for the Multnomah Community Ability Scale.,,10.1023/a:1018789218611,Crossref 404 and doi.org reports the handle does not exist; 10.1023/a:1018789218611 (the same string repaired) resolves to “Statewide Replication of Predictive Validation for the Multnomah Community Ability Scale”
unresolvable DOI,replication_url,https://doi.org/10.1111/j.1931-2393.2009.4111209.x,3119,1,https://doi.org/10.1111/j.1931-2393.2009.4111209.x,Taking be proud! Be responsible! To the suburbs: a replication study.,,10.1363/4101209,Crossref 404 and doi.org reports the handle does not exist; Crossref search on the stated title finds 10.1363/4101209 (“Taking Be Proud! Be Responsible! to the Suburbs: A Replication Study”)
unresolvable DOI,replication_url,https://doi.org/10.17605/osf.io/82bwv,7910,1,https://doi.org/10.17605/osf.io/82bwv,"Replication of Hajcak & Foti  (2008, PS, Study 1)",,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,replication_url,https://doi.org/10.17605/osf.io/ehjdm,7911,1,https://doi.org/10.17605/osf.io/ehjdm,"Replication of Janiszewski & Uy  (2008, PS, Study 4b)",,,Crossref 404 and doi.org reports the handle does not exist
unresolvable DOI,replication_url,https://doi.org/10.17605/osf.io/ictp5,7912,1,https://doi.org/10.17605/osf.io/ictp5,"Replication of Nurmsoo & Bloom (2008, PS, Study 1)",,,Crossref 404 and doi.org reports the handle does not exist
withdrawn preprint,replication_url,https://doi.org/10.31234/osf.io/esu9z,7490,1,https://doi.org/10.31234/osf.io/esu9z,WITHDRAWN,WITHDRAWN,,the Observatory's title reads 'WITHDRAWN' while the DOI's registry record carries the title shown — the preprint was likely withdrawn; worth checking whether to keep the row
withdrawn preprint,replication_url,https://doi.org/10.31234/osf.io/jfmsz,400,1,https://doi.org/10.31234/osf.io/jfmsz,WITHDRAWN,Replication of a study from “Relational diversity in social portfolios predicts well-being” (PNAS | Collins et al. 2022),,the Observatory's title reads 'WITHDRAWN' while the DOI's registry record carries the title shown — the preprint was likely withdrawn; worth checking whether to keep the row
withdrawn preprint,replication_url,https://doi.org/10.31234/osf.io/xjaty,399,1,https://doi.org/10.31234/osf.io/xjaty,WITHDRAWN,Replication of a study from “Knowledge about others reduces one’s own sense of anonymity” (Nature | Shah &amp;amp; LaForest 2022),,the Observatory's title reads 'WITHDRAWN' while the DOI's registry record carries the title shown — the preprint was likely withdrawn; worth checking whether to keep the row
