doi_r,title_r,old_filter_status,old_filter_confidence,new_filter_status,new_filter_confidence,new_filter_evidence
10.1111/j.1467-7687.2011.01060.x,Age differences in visual working memory capacity: not based on encoding limitations,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1111/j.1469-7610.2011.02418.x,Child and parental literacy levels within families with a history of dyslexia,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1523/jneurosci.3292-11.2011,KIBRA Polymorphism Is Related to Enhanced Memory and Elevated Hippocampal Processing,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1037/a0023120,Effects of concurrent load on feature- and rule-based generalization in human contingency learning.,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.3389/fncom.2011.00044,Distinguishing linear vs. non-linear integration in CA1 radial oblique dendrites: it’s about time,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1016/j.neuroimage.2011.08.071,Decoding episodic memory in ageing: A Bayesian analysis of activity patterns predicting memory,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1002/jwmg.201,Wolf population dynamics in the U.S. Northern Rocky Mountains are affected by recruitment and human‐,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1037/a0023063,"Phonological typicality influences sentence processing in predictive contexts: Reply to Staub, Grant",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1027/1618-3169/a000117,Comparing the Effects of Testing and Restudying on Recollection in Recognition Memory,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1093/geront/gnr054,Adapting Stanford's Chronic Disease Self-Management Program to Hawaii's Multicultural Population,replication,high,needs_review,medium,phrase:we replicated; no author-year cite
10.1111/j.1469-7610.2011.02452.x,Gene by environment interactions influencing reading disability and the inattentive symptom dimensio,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1111/j.1465-7287.2011.00277.x,DID THE GREAT RECESSION REDUCE VISITOR SPENDING AND WILLINGNESS TO PAY FOR NATURE‐BASED RECREATION? ,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1080/20445911.2011.448025,Practice-related reduction of dual-task costs under conditions of a manual-pedal response combinatio,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1075/z.167.29dri,Category training affects colour discrimination but only in the right visual field,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.4236/psych.2011.22017,Influence of the Learnt Direction of Reading on TemporalOrder Judgments,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1080/02687038.2010.536841,Distributed impact of cognitive-communication impairment: Disruptions in the use of definite referen,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1158/1538-7445.am2011-868,Abstract 868: Replication of melanoma GWAS hits and exploration of pleiotropic effects of cancer GWA,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1176/pn.46.3.psychnews_46_3_024,Stressors Raise Depression Risk if Person Has Gene Allele,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,The Structure and Measurement of Self-Construals: A Cross-Cultural Study of the Self-Construal Scale,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.3389/fnint.2011.00048,Slow Potentials in Time Estimation: The Role of Temporal Accumulation and Habituation,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1200/jco.2011.29.15_suppl.e14022,"An independent, external validation study of proposed genetic biomarkers of irinotecan toxicity and ",replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1353/vcr.2011.0029,Eugen Sandow (1867-1925),replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1111/j.1365-2044.2011.06751.x,Critical care transfers: the lack of information and systemic shortcomings continue…,replication,high,needs_review,medium,phrase:failed to replicate; no author-year cite
10.1111/j.1365-2125.2011.04062.x,"Impact, orthodoxy and peer review",replication,high,needs_review,medium,phrase:failed to replicate; no author-year cite
10.7282/t3q81c60,The moderating effects of absorption in facilitating recall in the cognitive interview,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
,Development of a netball specific dynamic balance assessment,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1037/e683152011-131,Influence of primed social roles on gender differences in conformity,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/a0025172,Fearing the Future of Empirical Psychology: Bem's (2011) Evidence of Psi as a Case Study of Deficien,replication,high,needs_review,medium,phrase:close replication; no same-sentence cite
10.1002/jaba.736,“Other” behavior and the <scp>DRO</scp>: The roles of extinction and reinforcement,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1016/j.dcn.2020.100818,Dynamic modulation of frontal theta power predicts cognitive ability in infancy,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
,Self-Replication of the J. Byl Replicator in Cellular Automata Space With Permutations of the State ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1080/23743603.2016.1248080,Benefits of power posing: effects on dominance and social sensitivity,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1353/cp.2020.0027,Dispossession and the Environment: Rhetoric and Inequality in Papua New Guinea by Paige West,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1109/icst46399.2020.00006,ICST 2020 Opinion,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.2307/2991591,Effects of a Replication of a Multicomponent Model for Preventing Adolescent Pregnancy In Three Kans,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,Analysis of Genome-Wide Association Study (GWAS) data looking for replicating signals in Alzheimer's,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.31234/osf.io/c8akj,The Costs and Benefits of Replication Studies,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1038/s41398-020-01032-9,Transdiagnostic individualized clinically-based risk calculator for the automatic detection of indiv,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1167/jov.20.11.321,Feature uncertainty is tracked by predictive attentional templates,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.3200/joeb.79.5.294-298,Right and Wrong and Cultural Diversity: Replication of the 2002 NAS/Zogby Poll on Business Ethics,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.24839/2325-7342.jn23.2.98,"Self-Esteem, Self-Disclosure, Self-Expression, and Connection on Facebook: A Collaborative Replicati",replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1007/s40881-022-00118-y,Intertemporal consumption and debt aversion: a replication and extension,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1002/cplx.20218,"Construction theory, self‐replication, and the halting problem",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1111/cogs.12849,Syntactic Creativity Errors in Children's Wh‐Questions,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1017/prp.2020.6,"Pain and sharing: A re-examination of the findings of Bastian, Jetten, and Ferris (2014)",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.2478/jos-2020-0026,Continuing to Explore the Relation between Economic and Political Factors and Government Survey Refu,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1016/j.dib.2020.105449,A database of elemental compositions of architectural float glass samples measured by LA-ICP-MS,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1561/107.00000065,Dual Entitlement Revisited: Cultural Differences in Asymmetric Pricing,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1101/2020.08.10.244707,The psychophysics of visual search with heterogeneous distractors,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.25370/array.v20152524,An Implicit Association Test on Audio-Visual Cross-Modal Correspondences,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.7910/dvn/tra0b6,Replication Data for: Conversionary Protestants do not cause democracy,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.31234/osf.io/e73n4,"Color Diversity Judgments in Peripheral Vision: Evidence Against ""Cost-Free"" Representations",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.7554/elife.91498.2,Evaluating Study Design Rigor in Preclinical Cardiovascular Research: A Replication Study,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1177/27550311251323281,Does competition from informal firms impact new product development? Systematic replication and exte,replication,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.5334/joc.432,I am Once Again Asking for Your Attention: A Replication of Feature-Based Attention Modulations of B,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1111/jpr.12507,Pluralistic Ignorance did not Prevent Paternity Leave in Japan in December 2021: A Replication Study,replication,high,needs_review,medium,phrase:preregistered replication; no same-sentence cite
10.1177/2054358120944271,Canadian Society of Nephrology Commentary on the Kidney Disease Improving Global Outcomes 2017 Clini,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1177/23.7.1095648,Replication of amplifying ribosomal deoxyribonucleic acid in rolling circles in Xenopus laevis oocyt,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1111/cdev.13309,Children Learn From Both Embodied and Passive Pretense: A Replication and Extension,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.1002/smj.2573,"Friends or strangers? It all depends on context: A replication and extension of <scp>B</scp> eckman,",replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1037/xge0000723,Language framing shapes dehumanization of groups: A successful replication and extension of Cooley e,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.31234/osf.io/sx742,"Self-Esteem, Self-Disclosure, Self-Expression, and Connection on Facebook: A Collaborative Replicati",replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.31234/osf.io/vqu2x,Compensatory Control and Belief in God: A Registered Replication Report Across Two Countries,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1371/journal.pone.0209263,Testing the effect of cooperative/competitive priming on the Prisoner’s Dilemma. A replication study,replication,high,needs_review,medium,phrase:could not reproduce; no same-sentence cite
10.31234/osf.io/vzt6d,Extraversion but not Depression Predicts Implicit Reward Sensitivity: Revisiting the Measurement of ,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.31234/osf.io/amdz8,Not So Fast: Searching for Behavioral Effects of Putrescine in Direct and Conceptual Replications of,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.26451/abc.08.02.06.2021,New Caledonian Crows and Hidden Causal Agents Revisited,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.31234/osf.io/qn7pt,Sexual orientation predicts women’s preferences for sexually dimorphic face-shape characteristics,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1167/17.10.112,No evidence for an object working memory capacity benefit with extended viewing time,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,Consider the robot - Abstraction of bioinspired leg coordination and its application to a hexapod ro,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1113/jp281360,"Publications, replication and statistics in physiology plus two neglected curves",replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1016/j.jalz.2018.06.2705,O2‐11‐06: BLOOD‐BASED PROTEIN PREDICTORS OF DEMENTIA SEVERITY AS MEASURED BY δ: REPLICATION ACROSS B,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.24112/ajsotl.103136,Replication of Communities of Practice via a Multimedia-based Vocabulary Learning Tool to Enhance So,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1101/2020.05.29.20116905,"The <i>All of Us</i> Research Program: data quality, utility, and diversity",replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.31234/osf.io/gd6ej,"Subjective Likelihood and the Construal Level of Future Events: A Replication Study of Wakslak, Trop",replication,high,needs_review,medium,phrase:close replication; no same-sentence cite
10.1111/joes.12352,ANOTHER LOOK AT ‘BANK COMPETITION AND FINANCIAL STABILITY: MUCH ADO ABOUT NOTHING’?,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.71889/5fylantbak.29864444,Do People Really Think They Are Alone In A Crowd Of Sheep?: Replication And Extension Of Pronin Et A,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.26034/cm.jostrans.2020.548,Does the dubbing effect apply to voice-over? A conceptual replication study on visual attention and ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1093/bioinformatics/btae548,Feature selection by replicate reproducibility and non-redundancy,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1016/j.jrp.2024.104525,Close replication of : Who tells prosocial lies?,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1097/acm.0000000000002311,Chief Resident Immersion Training in the Care of Older Adults: A Successful National Replication of ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/0012-1649.19.6.839,Ego identity and intimacy status: Replication and extension.,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.1017/s0261444817000222,"Replication research in contextual and individual influences in pragmatic competence: Taguchi, Xiao ",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1136/bmj.312.7047.1653,Commentary: Replication of results: Fig 1,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1037/xap0000321,Effects of process and outcome accountability on escalating commitment: A two-study replication.,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.2307/2136452,Mental Illness and the Economy: A Critique and Partial Replication,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1099/vir.0.061721-0,The PB2 E627K mutation contributes to the high polymerase activity and enhanced replication of H7N9 ,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1007/s40806-016-0048-6,"Sex Differences in Mate Preferences: a Replication Study, 20 Years Later",replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1371/journal.ppat.1010585,"Haemagglutinin substitutions N125D, D127E, D222G and R223Q improve replicative fitness and vaccine e",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1017/s014271642000082x,Individual differences in bilingual word recognition: The role of experiential factors and word freq,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1093/sleep/zsaa056.102,"0104 The Effect of Time, Sleep, and Wake on Motor Memory Consolidation: A Partial Replication of Wal",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1101/sqb.1958.023.01.004,The Replication of DNA,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1371/journal.pbio.3001728,"Ancestral SARS-CoV-2, but not Omicron, replicates less efficiently in primary pediatric nasal epithe",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1167/jov.20.11.1645,Eye movements reveal event understanding in visual narratives,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.7554/elife.57390.sa1,Decision letter: Population-scale proteome variation in human induced pluripotent stem cells,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.7554/elife.57390.sa2,Author response: Population-scale proteome variation in human induced pluripotent stem cells,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/m23v4,Postprint - Heterogeneity in direct replications in psychology and its association with effect size,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.5281/zenodo.3817874,Using White-Box Test Generation During Development: A Replicated Study,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.3758/s13428-020-01440-1,What is semantic diversity and why does it facilitate visual word recognition?,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.22037/smsj.v2i2.30312,Therapeutic Options and Critical Care Strategies in COVID-19 Patients; Where Do We Stand in This Bat,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.5281/zenodo.18425311,Replication Materials,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.5281/zenodo.18425310,Replication Materials,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.2147/opth.s275977,&lt;p&gt;Trends in Real-World Neovascular AMD Treatment Outcomes in the UK&lt;/p&gt;,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1017/s0033291720002925,A systematic review of treatments for alcohol-related cognitive impairment: lessons from the past an,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.5281/zenodo.3817873,Using White-Box Test Generation During Development: A Replicated Study,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/bul0000294,Heterogeneity in direct replications in psychology and its association with effect size.,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.3389/fpsyt.2020.00777,A Neglected Topic in Neuroscience: Replicability of fMRI Results With Specific Reference to ANOREXIA,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,If there is a stable relationship between climate change and civil war in Sub-Saharan Africa? A repl,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1111/jan.14316,A bibliometric analysis of articles identified by editors as representing excellence in nursing publ,replication,high,needs_review,medium,phrase:replication and extension; no author-year cite
10.1101/2020.04.07.028589,The IMPDH inhibitor merimepodib suppresses SARS-CoV-2 replication <i>in vitro</i>,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1109/vrw50115.2020.00137,Impact of AR Display Context Switching and Focal Distance Switching on Human Performance: Replicatio,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1177/0956797620955209,"Preregistered Direct Replication of “Sick Body, Vigilant Mind: The Biological Immune System Activate",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1089/eco.2020.0012,Perceptions of Powerlessness Are Negatively Associated with Taking Action on Climate Change: A Prere,replication,high,needs_review,medium,phrase:preregistered replication; no same-sentence cite
10.1007/s40037-020-00611-2,The reliability characteristics of the REFLECT rubric for assessing reflective capacity through expr,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.1007/s10803-020-04626-w,"Links Between Autistic Traits, Feelings of Gender Dysphoria, and Mentalising Ability: Replication an",replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.6084/m9.figshare.32112373.v4,Replication package for: Digital Transformation and Supply-Chain Resilience — A Posture–Behavior Dec,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1088/1755-1315/1497/1/012015,Replication of Leek Cultivation Technology (<i>Allium porrum</i>) in Malang Regency,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1177/1477971418771090,Replication of the learning alliance inventory to blended student populations,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1101/2021.07.01.450756,Flavonols and dihydroflavonols inhibit the main protease activity of SARS-CoV-2 and the replication ,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.7717/peerj.3896,Independent evolution of tetraloop in enterovirus oriL replicative element and its putative binding ,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1107/s0108767320097779,Structural analysis of severe acute respiratory syndrome coronavirus-2 proteins: exploring mutations,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.21410/7e4/y0fhkb,Modes de vie et société (ELIPSS 2014),replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.23668/psycharchives.4199,Tell me what I told you Mini-Me: Constructing and providing two-layer feedforward networks for class,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1007/s41809-024-00162-6,Individual differences modulate prediction of Italian words based on lexical stress: a close replica,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1016/j.rmal.2025.100249,Comparing lab-based and remote data collection methods in second language acquisition research. A cl,replication,high,needs_review,medium,phrase:close replication; no same-sentence cite
10.31219/osf.io/kam35_v1,Comparing lab-based and remote data collection methods in second language acquisition research. A cl,replication,high,needs_review,medium,phrase:close replication; no same-sentence cite
10.1093/em/cau091,Digital evaluation and replication of period wind instruments: the role of micro-computed tomography,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1037/e529992013-001,The Relationship between Personality and Job Performance in Sales: A Replication of Past Research an,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.5281/zenodo.19224454,The Quumble in a Sixth Machine: Grok 4 Cross- Architecture Replication,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.31635/ccschem.020.202000236,Functional DNA Structures and Their Biomedical Applications,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31219/osf.io/z5kf8,How to Kill a Greek God: A Meta-Analysis and Critical Review of 14 years of Proteus Effect Research,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.1097/wnp.0000000000000744,The Wisdom and Vision From the ACMEGS Inaugural Decade,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.7554/elife.58410.sa1,Decision letter: Repeated outbreaks drive the evolution of bacteriophage communication,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1111/bcpt.13492,BCPT policy for experimental and clinical studies,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.25035/pad.2020.02.006,"Threat of Technological Unemployment, Use Intentions, and the Promotion of Structured Interviews in ",replication,high,needs_review,medium,phrase:replicating the findings; no same-sentence cite
10.1017/s0003055418000254,Are Human Rights Practices Improving?,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1177/0956797617703667,Deconstructing Rich False Memories of Committing Crime: Commentary on Shaw and Porter (2015),replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.3758/s13414-020-02057-4,The official soundtrack to “Five shades of grey”: Generalization in multimodal distractor-based retr,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.1121/1.5146931,Phonetic detail in adult word learning,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.7717/peerj.3580,The influence of mortality and socioeconomic status on risk and delayed rewards: a replication with ,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Letters to Future Selves: Replication Attempts on Delinquent Decisions and Risky Investments,replication,high,needs_review,medium,phrase:high-powered replication; no author-year cite
10.1111/sms.13021,Asymmetry during Functional Movement Screening and injury risk in junior football players: A replica,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1177/1359104519838593,Gender dysphoria in adolescent population: A 5-year replication study,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
10.34917/4332616,Principal Change Facilitator Style and Student Achievement: A Study of Schools in the Middle,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.20381/ruor-24426,"Active Healthy Kids Global Alliance “Global Matrix” Initiative: Process, Results, Impact and Evaluat",replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.4324/9781351257244,Mapping Motivation for Top Performing Teams,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,Emotional granularity increases with intensive ambulatory assessment,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
,Preprint,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.3329/bjid.v7i00.50160,"Pathogenesis, Diagnosis, Treatment and Prevention Strategies of Human Coronavirus: A Review",replication,high,needs_review,medium,phrase:replication of; no author-year cite
,Kava and balance: The effects of traditionally influenced kava consumption on human physiology,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
10.4018/979-8-3693-2569-8.ch005,Social Innovation Through Conceptual Replication,replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
,Replication Study: Feeling capable and valued,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1075/sl.31.4.05mat,Investigating the mechanisms of pattern replication in language convergence,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.2307/257015,THE UNFOLDING MODEL OF VOLUNTARY TURNOVER: A REPLICATION AND EXTENSION.,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
,Attenuated replication and pathogenicity of SARS-CoV-2 B.1.1.529 Omicron,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1037/0022-0663.86.2.235,Accelerating language development through picture book reading: Replication and extension to a video,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.7771/2159-6670.1120,What Are the Predictors of System-Wide Trust Loss in Transportation Automation?,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1002/aur.1662,Lack of replication of previous autism spectrum disorder GWAS hits in European populations,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/xge0000295,"Trust, trolleys and social dilemmas: A replication study.",replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
,Molecular Modeling of Isolated Phytochemicals from Ocimum sanctum Towards Exploring Potential Inhibi,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1136/bmjgh-2020-004318,"“In cities, it’s not far, but it takes long”: comparing estimated and replicated travel times to rea",replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1002/ajmg.10380,Apparent replication of suggestive linkage on chromosome 16 in the NIMH genetics initiative bipolar ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.17605/osf.io/7ps68,Sequential i-Codes - Replication of Study 2 in within-design,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1007/s12021-021-09512-z,"Excavating FAIR Data: the Case of the Multicenter Animal Spinal Cord Injury Study (MASCIS), Blood Pr",reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1093/pm/pnaa331,Intervention Therapies to Reduce Pain-Related Fear in Fibromyalgia Syndrome: A Systematic Review of ,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.1080/21632324.2020.1826201,Migrants at a crossroads: COVID-19 and challenges to migration,replication,high,needs_review,medium,phrase:successfully replicated; no same-sentence cite
10.1080/07391102.2020.1813628,"Potential inhibitors of SARS-cov-2 RNA dependent RNA polymerase protein: molecular docking, molecula",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.2174/1386207323999200730205447,Discovery of Potent SARS-CoV-2 Inhibitors from Approved Antiviral Drugs via Docking and Virtual Scre,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/cx4tv,The Structure of Adolescent Temperament and Associations with Psychological Functioning: A Replicati,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1371/journal.pone.0317566,Predicting Parkinson’s disease trajectory using clinical and functional MRI features: A reproduction,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.16995/zygon.11499,Jewish Responses to Copernican Thought: A Conceptual Replication of John Hedley Brooke’s Chapter on ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1016/j.jesp.2023.104549,No evidence that priming analytic thinking reduces belief in conspiracy theories: A Registered Repor,replication,high,needs_review,medium,phrase:registered report of; no same-sentence cite
10.1002/hbm.26065,Can we have a second helping? A preregistered direct replication study on the neurobiological mechan,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/ebs0000298,Altruism does not predict mating success in humans: A direct replication.,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.1111/lcrp.12201,Does cognitive inflexibility predict violent extremist behaviour intentions? A registered direct rep,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1111/lcrp.12186,Does cognitive inflexibility predict violent extremist behaviour intentions? A registered direct rep,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31234/osf.io/w87yr,Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975),replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/xge0000992,Counterfactual thinking and facial expressions among Olympic medalists: A conceptual replication of ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1037/vio0000282,Correlates of victim-perpetrator overlap in sexual aggression among men and women: A conceptual repl,replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
10.1111/psyp.13546,Intolerance of uncertainty and threat generalization: A replication and extension,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.25656/01:20725,Förderung musikalisch-kreativen Denkens durch Improvisation? Eine Replikationsstudie zu Angeboten im,replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
10.31234/osf.io/hfuas,Preregistered Replication of “Feeling superior is a bipartisan issue: Extremity (not direction) of p,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1111/jcal.12485,Testing the segmentation effect of multimedia learning in a biological system,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
