ref_o,doi_o,study_o,year_o,ref_r,doi_r,url_r,study_r,abstract_r,year_r,outcome,outcome_quote,out_quote_source,type,quote_validated,quote_similarity,pathway_source,validation_status,readiness_level,multi_target,flora_match_type,original_source,prep_notes,match_status,match_method,match_confidence
"Gilchrist, A. L. (1977). Perceived Lightness Depends on Perceived Spatial Arrangement. Science, 195(4274), 185–187. https://doi.org/10.1126/science.831266",10.1126/science.831266,Perceived Lightness Depends on Perceived Spatial Arrangement,1977.0,"Radonjić, Todorović & Gilchrist (2010). Adjacency and surroundedness in the depth effect on lightness. Journal of Vision.",10.1167/10.9.12,https://doi.org/10.1167/10.9.12,Adjacency and surroundedness in the depth effect on lightness,"Using two perpendicular planes, one brightly and one dimly illuminated, A. L. Gilchrist (1977) showed that target lightness can change nearly from black to white by changing its perceived spatial position, with no change in the retinal image, if the target has an adjacent coplanar neighbor in each position. Earlier L. Kardos (1934) found a modest depth effect for a target that was not adjacent to its coplanar neighbor but surrounded by it. Using Kardos' experimental arrangement, but articulated planes and a between-subjects design, we obtained a large depth effect on lightness without adjacency. We then explored the role of adjacency and surroundedness using Gilchrist's perpendicular planes arrangement. We replicated the large depth effect when the target was adjacent to its coplanar neighbor. However, most of this depth effect was lost when adjacency was eliminated, by moving each target within its plane away from its coplanar neighbor. When we surrounded each target by extending its non-adjacent coplanar background, half the effect provided by adjacency was restored, but only in the brightly illuminated, not the dimly illuminated plane. Our findings support the view that, to compute surface lightness, the visual system groups surfaces in the image that seem to be equally illuminated.",2010.0,mixed,"We replicated the large depth effect when the target was adjacent to its coplanar neighbor. However, most of this depth effect was lost when adjacency was eliminated",abstract,replication,True,1.0,openalex,llm_confirmed,2,True,,openalex_references,"openalex: The abstract reports new experiments and explicitly states they 'replicated the large depth effect' from Gilchrist (1977) and also used Kardos' (1934) experimental arrangement, indicating new-data replications of multiple prior studies. | The replication reproduced Gilchrist's large depth effect under the adjacency condition but failed to find the effect when adjacency was removed; surrounding partly restored the effect only in one illumination condition, so results are mixed. [outcome_confidence: high]",unmatched,,
"Motoyoshi, I., Nishida, S., Sharan, L., & Adelson, E. H. (2007). Image statistics and the perception of surface qualities. Nature, 447(7141), 206–209. https://doi.org/10.1038/nature05724",10.1038/nature05724,Image statistics and the perception of surface qualities,2007.0,"Kim, J., & Anderson, B. L. (2010). Image statistics and the perception of surface gloss and lightness. Journal of Vision, 10(9), 3–3. https://doi.org/10.1167/10.9.3",10.1167/10.9.3,https://doi.org/10.1167/10.9.3,Image statistics and the perception of surface gloss and lightness,"Despite previous data demonstrating the critical importance of 3D surface geometry in the perception of gloss and lightness, I. Motoyoshi, S. Nishida, L. Sharan, and E. H. Adelson (2007) recently proposed that a simple image statistic--histogram or sub-band skew--is computed by the visual system to infer the gloss and albedo of surfaces. One key source of evidence used to support this claim was an experiment in which adaptation to skewed image statistics resulted in opponent aftereffects in observers' judgments of gloss and lightness. We report a series of adaptation experiments that were designed to assess the cause of these aftereffects. We replicated their original aftereffects in gloss but found no consistent aftereffect in lightness. We report that adaptation to zero-skew adaptors produced similar aftereffects as positively skewed adaptors, and that negatively skewed adaptors induced no reliable aftereffects. We further find that the adaptation effect observed with positively skewed adaptors is not robust to changes in mean luminance that diminish the intensity of the luminance extrema. Finally, we show that adaptation to positive skew reduces (rather than increases) the apparent lightness of light pigmentation on non-uniform albedo surfaces. These results challenge the view that the adaptation results reported by Motoyoshi et al. (2007) provide evidence that skew is explicitly computed by the visual system.",2010.0,mixed,We replicated their original aftereffects in gloss but found no consistent aftereffect in lightness.,abstract,replication,True,1.0,openalex,already_in_flora,1,False,exact_pair,openalex_references,"openalex: The abstract describes new adaptation experiments and explicitly states they 'replicated their original aftereffects' attributed to Motoyoshi et al. (2007), so this is a single replication study collecting new data targeting that 2007 paper. | The replication reproduced the original gloss aftereffects but failed to find consistent lightness aftereffects and revealed additional inconsistencies (e.g., zero-skew adaptors producing similar effects, lack of robustness to mean luminance), so some results replicate while others do not. [outcome_confidence: high]",unmatched,,
"Zhou, J., Reynaud, A., & Hess, R. F. (2017). Aerobic Exercise Effects on Ocular Dominance Plasticity with a Phase Combination Task in Human Adults. Neural Plasticity, 2017, 1–7. https://doi.org/10.1155/2017/4780876",10.1155/2017/4780876,Aerobic Exercise Effects on Ocular Dominance Plasticity with a Phase Combination Task in Human Adults,2017.0,Finn et al. (2019). Visual plasticity and exercise revisited: No evidence for a “cycling lane”. Journal of Vision.,10.1167/19.6.21,https://doi.org/10.1167/19.6.21,Visual plasticity and exercise revisited: No evidence for a “cycling lane”,"Experiments using enriched environments have shown that physical exercise modulates visual plasticity in rodents. A recent study (Lunghi & Sale, 2015) investigated whether exercise also affects visual plasticity in adult humans. The plastic effect they measured was the shift in ocular dominance caused by 2 hr of monocular deprivation (e.g., by an eye patch). They used a binocular rivalry task to measure this shift. They found that the magnitude of the shift was increased by exercise during the deprivation period. This effect of exercise was later disputed by a study that used a different behavioral task (Zhou, Reynaud, & Hess, 2017). Our goal was to determine whether the difference in task was responsible for that study's failure to find an exercise effect. We set out to replicate Lunghi and Sale (2015). We measured ocular dominance with a rivalry task before and after 2 hr of deprivation. We measured data from two conditions in 30 subjects. On two separate days, they either performed exercise or rested during the deprivation period. Contrary to the previous study, we find no significant effect of exercise. We hypothesize that exercise may affect rivalry dynamics in a way that interacts with the measurement of the deprivation effect.",2019.0,failed,"Contrary to the previous study, we find no significant effect of exercise.",abstract,replication,True,1.0,openalex,llm_confirmed,1,False,,openalex_references,"openalex: The abstract explicitly states the authors 'set out to replicate Lunghi and Sale (2015)' and describe collecting new data (30 subjects, two conditions on separate days) using the same binocular rivalry measure after 2 hr monocular deprivation. | The replication targeted Lunghi & Sale (2015) but the putative original given (Zhou et al., 2017) is different; the replication measured ocular dominance with the same binocular rivalry task and found no significant exercise effect, so it failed to reproduce the original finding. [outcome_confidence: high]",unmatched,,
"Announcement. (1982). Wave Motion, 4(2), 193. https://doi.org/10.1016/0165-2125(82)90036-1",10.1016/0165-2125(82)90036-1,Announcement,1982.0,"Thompson, P. (2010). Adapting to missing fundamental square waves: a replication of an unreported experiment. Journal of Vision, 2(7), 740–740. https://doi.org/10.1167/2.7.740",10.1167/2.7.740,https://doi.org/10.1167/2.7.740,Adapting to missing fundamental square waves: a replication of an unreported experiment,"Adelson (1982) reported that a square wave grating, missing its fundamental and stepped to the right in 90 deg phase jumps, appears to move to the left. This result, unpredicted by correspondence and cross-correlational theories of motion perception, is easily explained by looking at the spatio-temporal characteristics of the stimulus, since the largest component of the stimulus, the 3rd harmonic actually does move to the left, the jump being 270 deg of its cycle to the right which is equivalent to a 90 deg jump of its cycle to the left. An obvious question (and one that almost certainly has been asked several times) is what happens if we adapt to this 90 deg jumping missing fundamental stimulus; in which direction will a subsequently viewed stationary 3rd harmonic appear to move? We have carried out a series of experiments adapting to 90 deg jumping square waves, with and without their fundamental component, and testing on a variety of stationary stimuli. In one critical condition we have found that following adaptation to the 90 deg rightward-jumping square-wave grating a stationary 3f-only test stimulus appeared to move to the left, i.e. in the same direction as the 3f component of the adaptation pattern. Although this result might be interpreted as support for the global motion determining the direction of the MAE we shall present evidence to support the view that the broad spatial tuning of the movement aftereffect is responsible for this result. Adelson (1982) Some new motion illusions — and some old ones, analysed in terms of their Fourier components. Investigative Ophthalmology and Visual Science 22 (3) 144",2010.0,successful,In one critical condition we have found that following adaptation to the 90 deg rightward-jumping square-wave grating a stationary 3f-only test stimulus appeared to move to the left,abstract,replication,True,1.0,openalex,llm_confirmed,1,False,,crossref_llm_search,"openalex: The title explicitly calls this a replication and the abstract describes new adaptation experiments testing the phenomenon reported by Adelson (1982), so it is a single replication of that 1982 study. | The replication reports the same effect: after adapting to the 90° rightward-jumping missing-fundamental stimulus, a stationary 3f-only test appeared to move left. The authors reproduce the critical perceptual outcome, though they discuss an alternative mechanistic interpretation. [outcome_confidence: high]",unmatched,,
,,,,"Vecera, Flevaris & Filapek (2010). Exogenous spatial attention influences figure-ground assignment. Journal of Vision.",10.1167/3.9.763,https://doi.org/10.1167/3.9.763,Exogenous spatial attention influences figure-ground assignment,"In a hierarchical stage account of vision, figure-ground assignment is thought to be completed before the operation of focal spatial attention. Previous results support this account by showing that unpredictive, exogenous spatial precues do not influence figure-ground assignment, although voluntary attention can influence figure-ground assignment. However, in these studies, attention was not summoned directly to a region in a figure-ground display. In three experiments, we address the relationship between figure-ground assignment and visuospatial attention using a visual short-term memory matching task. In Experiment 1, subjects saw figure-ground displays and an unpredictive peripheral precue that appeared outside the figure-ground stimulus; we replicated the finding that exogenous precues do not influence figure-ground assignment when they direct attention outside of a figure-ground stimulus. In Experiment 2, unpredictive peripheral precues were placed inside figure-ground display so that attention was directed to one of the possible figural regions. Exogenous attention influenced figure-ground assignment: Subjects were faster to match the precued region from memory than the uncued region. Finally, in Experiment 3, we asked if unpredictive peripheral precues could modulate figure-ground assignment in displays containing a gestalt figure-ground cue (convexity). We found that exogenous attention interacted with the convexity cue in this experiment. When attention was directed to the convex region, subjects were faster to match this region than the uncued, concave region. When attention was directed to the concave region, the figural advantage produced by the convex region was reduced significantly. These results suggest that figure-ground processes are not entirely completed prior to the operation of spatial attention. Exogenous spatial attention acts as a cue for figure-ground assignment and can affect the outcome of figure-ground processes.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The paper reports three new experiments testing the relationship between exogenous spatial attention and figure–ground assignment. Although Experiment 1 'replicates the finding' of prior work, the article is an original empirical study rather than a study whose primary purpose is to replicate or reanalyze a specific prior paper; it does not present itself as a replication/reproduction of one identifiable original study.",unmatched,,
"Proffitt, F. (2004). A Nanowire Link Between East and West. Science, 304(5668), 201–201. https://doi.org/10.1126/science.304.5668.201",10.1126/science.304.5668.201,A Nanowire Link Between East and West,2004.0,"Hutchison, J. J., & Loomis, J. M. (2010). Does energy expenditure affect the perception of egocentric distance? A failure to replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003). Journal of Vision, 6(6), 859–859. https://doi.org/10.1167/6.6.859",10.1167/6.6.859,https://doi.org/10.1167/6.6.859,"Does energy expenditure affect the perception of egocentric distance? A failure to replicate Experiment 1 of Proffitt, Stefanucci, and Epstein (2003)","In a series of recent studies, Proffitt and his colleagues have reported that the perceived distance to a target is influenced by the energy expenditure associated with any action, such as walking or throwing, for spanning the distance to the target. In particular, Proffitt, Stefanucci, Banton, and Epstein (2003) reported that wearing a heavy backpack caused verbal reports of distance to increase. We conducted a study to determine whether three responses dependent on perceived distance (verbal report of distance, blind walking, and estimates of object size) are influenced by the backpack manipulation. In two experiments, one involving a between-participants design and the other involving a within-participants design, we found that none of the three responses were influenced by the wearing of a heavy backpack.",2010.0,,,,,,,openalex,needs_review,5,False,,crossref_author_year,openalex:,unmatched,,
"Aghajari, N., & Preeti, P. (2019). Human cytosolic 5′-nucleotidase II soaked with 10mM 3-Phenyl-N-(9H-purin-6-yl)benzamide. https://doi.org/10.2210/pdb6fxh/pdb",10.2210/pdb6fxh/pdb,Human cytosolic 5'-nucleotidase II soaked with 10mM 3-Phenyl-N-(9H-purin-6-yl)benzamide,,"Ha, J., Broderick, W., Kay, K., & Winawer, J. (2023). Spatial Frequency Maps in Human Visual Cortex: A Replication and Extension. Journal of Vision, 23(9), 5624. https://doi.org/10.1167/jov.23.9.5624",10.1167/jov.23.9.5624,https://doi.org/10.1167/jov.23.9.5624,Spatial Frequency Maps in Human Visual Cortex: A Replication and Extension,"Neurons in primary visual cortex (V1) of non-human primates are tuned to spatial frequency, with preferred frequency declining with eccentricity. fMRI studies show that spatial frequency tuning can be measured at the mm scale in humans (single voxels), and confirm that preferred frequency declines with eccentricity. Recently, fMRI-based quantitative models of spatial frequency have been developed, both at the scale of voxels (Aghajari, Vinke, & Ling, 2020, J Neurophys) and maps (Broderick, Simoncelli, & Winawer, 2022, JoV). For the voxel-level approach, independent spatial frequency tuning curves were fit to each voxel. For the map-level approach, a low dimensional parameterization (9 parameters) described spatial frequency tuning across all of V1 as a function of voxel eccentricity, voxel polar angle, and stimulus orientation. Here, we sought to replicate and extend Broderick et al.’s results using an independent dataset (Natural scenes dataset, NSD; Allen et al, 2022, Nat Neurosci). Despite many experimental differences between Broderick et al and NSD, including field strength (3T vs 7T), number of stimulus presentations per observer (96 vs 32), and stimulus field of view (12° vs 4.2° maximal eccentricity), most, though not all, of the model parameters showed good agreement. Notably, parameters that capture the dependency of preferred spatial frequency on voxel eccentricity, cardinal vs oblique stimulus orientation, and radial vs tangential stimulus orientation, were similar. We also extended Broderick et al.’s results by fitting the same parametric model to NSD data from V2 and V3. From V1 to V2 to V3, there was an increasingly sharp decline in preferred spatial frequency as a function of eccentricity, and an increasingly large bandwidth in the voxel spatial frequency tuning functions. Together, the results show robust reproducibility of visual fMRI experiments, and bring us closer to a systematic characterization of spatial encoding in the human visual system.",2023.0,mixed,"most, though not all, of the model parameters showed good agreement.",abstract,replication,True,1.0,openalex,llm_confirmed,1,False,,crossref_author_year,"openalex: The title and abstract state they sought to ""replicate and extend Broderick et al.’s results"" using an independent dataset (NSD), indicating a single replication of Broderick et al. (2022) with new data. | The replication tested Broderick et al. (2022) using an independent dataset and found that key model parameters (e.g., dependence of preferred spatial frequency on eccentricity and orientation effects) were similar, but noted that not all parameters agreed, so some findings replicated while others did not. [outcome_confidence: high]",unmatched,,
,,,,"Saul, S., Karim, M., Ghita, L., Huang, P.-T., Chiu, W., Durán, V., Lo, C.-W., Kumar, S., Bhalla, N., Leyssen, P., Alem, F., Boghdeh, N. A., Tran, D. H. N., Cohen, C. A., Brown, J. A., Huie, K. E., Tindle, C., Sibai, M., Ye, C., … Einav, S. (2023). Anticancer pan-ErbB inhibitors reduce inflammation and tissue injury and exert broad-spectrum antiviral effects. Journal of Clinical Investigation, 133(19). https://doi.org/10.1172/jci169510",10.1172/jci169510,https://doi.org/10.1172/jci169510,Anticancer pan-ErbB inhibitors reduce inflammation and tissue injury and exert broad-spectrum antiviral effects,"Targeting host factors exploited by multiple viruses could offer broad-spectrum solutions for pandemic preparedness. Seventeen candidates targeting diverse functions emerged in a screen of 4,413 compounds for SARS-CoV-2 inhibitors. We demonstrated that lapatinib and other approved inhibitors of the ErbB family of receptor tyrosine kinases suppress replication of SARS-CoV-2, Venezuelan equine encephalitis virus (VEEV), and other emerging viruses with a high barrier to resistance. Lapatinib suppressed SARS-CoV-2 entry and later stages of the viral life cycle and showed synergistic effect with the direct-acting antiviral nirmatrelvir. We discovered that ErbB1, ErbB2, and ErbB4 bind SARS-CoV-2 S1 protein and regulate viral and ACE2 internalization, and they are required for VEEV infection. In human lung organoids, lapatinib protected from SARS-CoV-2-induced activation of ErbB-regulated pathways implicated in non-infectious lung injury, proinflammatory cytokine production, and epithelial barrier injury. Lapatinib suppressed VEEV replication, cytokine production, and disruption of blood-brain barrier integrity in microfluidics-based human neurovascular units, and reduced mortality in a lethal infection murine model. We validated lapatinib-mediated inhibition of ErbB activity as an important mechanism of antiviral action. These findings reveal regulation of viral replication, inflammation, and tissue injury via ErbBs and establish a proof of principle for a repurposed, ErbB-targeted approach to combat emerging viruses.",2023.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is an original experimental study reporting a compound screen and new in vitro, organoid, and in vivo experiments demonstrating antiviral effects of pan-ErbB inhibitors; it does not reanalyze prior data nor attempt to replicate a specific previous study.",unmatched,,
,,,,"Weyland, K. (2010). The Diffusion of Regime Contention in European Democratization, 1830-1940. Comparative Political Studies, 43(8–9), 1148–1176. https://doi.org/10.1177/0010414010370439",10.1177/0010414010370439,https://doi.org/10.1177/0010414010370439,"The Diffusion of Regime Contention in European Democratization, 1830-1940","This article goes beyond the established literature’s focus on domestic conditions by examining the impact of external impulses on European democratization from 1830 to 1940. Specifically, it analyzes the diffusion of regime conflict that arose from the cross-national spread of situational judgments about the feasibility of political change: Striking precedents of regime collapse, such as the overthrow of French kings in 1830 and 1848, tended to produce dramatic waves of political contention across Europe. But because the actual distribution of power in polities that experienced such externally stimulated episodes of regime contention often differed from the front-runner, these conflicts produced various types of results. The article distinguishes four outcomes of diffusion, namely (a) successful replication, (b) preemptive reform, (c) abortive replication, and (d) blockage of replication efforts. The latter two outcomes help explain why in European history, not only did political liberalism and democracy diffuse, but during certain time periods authoritarianism, corporatism, and fascism spread as well.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"Roach, V., Smith, L. W., & Boutin, J. (2010). School Leadership Policy Trends and Developments: Policy Expediency or Policy Excellence? Educational Administration Quarterly, 47(1), 71–113. https://doi.org/10.1177/0011000010378611",10.1177/0011000010378611,https://doi.org/10.1177/0011000010378611,School Leadership Policy Trends and Developments: Policy Expediency or Policy Excellence?,"Background: Institutional theorists suggest environmental stakeholders in the organizational field have a symbiotic relationship with governing agencies, leading to institutional isomorphism. Hence state policy makers copy the work of their colleagues across states to create a sense of legitimacy, certainty, and professionalization rather than developing policy based on metrics of efficiency and/or effectiveness. It can stifle innovation. The purpose of this study was to investigate the trends in state policy for school-based education administrators as an indicator of institutional isomorphism. Research Design: A “cohesive leadership system” for school leaders that has been operationalized by researchers through a five-segment continuum of standards, preparation program approval, assessment and licensure, mentoring and induction, and ongoing professional development coupled with licensure renewal. Researchers in this study reviewed published state regulations in all 50 states with respect to each of these five segments. Findings: Key trends include universal standards-based preparation, continuous renewal, increasing assessment and accountability, a wider breadth of providers for administrator development, tiered licensure, and renewal linked to school improvement, as measured by student standardized assessments. The establishment of the continuum itself as well as the trends within each facet of the continuum reflect high degrees of field conformity (isomorphism) and diminishing policy space for alternative paradigms. Conclusions: This trend is likely to continue because of the tight coupling of the environmental field related to educational administration. The conclusions suggest methods for injecting change into state policy to ensure advances in the field rather than simply replication of the status quo.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The paper reports an original review of state regulations across all 50 states using an existing five-segment framework; it does not reanalyze prior data nor state that it is attempting to replicate a specific prior empirical study, so it is not a replication or reproduction.",unmatched,,
,,,,"Jitendra, A. K., Harwell, M. R., Karl, S. R., Simonson, G. R., & Slater, S. C. (2017). Investigating a Tier 1 Intervention Focused on Proportional Reasoning: A Follow-Up Study. Exceptional Children, 83(4), 340–358. https://doi.org/10.1177/0014402917691017",10.1177/0014402917691017,https://doi.org/10.1177/0014402917691017,Investigating a Tier 1 Intervention Focused on Proportional Reasoning: A Follow-Up Study,"This randomized controlled study investigated the efficacy of a Tier 1 intervention-schema-based instruction-designed to help students with and without mathematics difficulties (MD) develop proportional reasoning. Twenty seventh-grade teachers/classrooms were randomly assigned to a treatment condition (schema-based instruction) or control condition (business as usual). Participants included 373 students, of whom 253 demonstrated MD. A measure of proportional problem solving (PPS) was administered at pre- and posttesting and at 11 weeks following treatment, along with a general mathematical problem-solving measure at pre- and posttesting. For the full sample, posttest differences favoring the treatment group were statistically significant for all measures. For students with MD, posttest differences favored the treatment group for the PPS posttest and PPS delayed posttest but not for general problem-solving posttest.",2017.0,mixed,,,replication,,,education_list,false_positive,7,True,,,"education_list: The abstract describes a new randomized controlled trial with newly collected data (373 students). It calls the work a 'follow-up study' but does not explicitly state it is replicating or reproducing a specific prior study, so by conservative criteria this should be classified as not a replication/reproduction. [spreadsheet_type: Conceptual]",unmatched,,
,,,,"Greenwood, C. R., Carta, J. J., Schnitz, A. G., Irvin, D. W., Jia, F., & Atwater, J. (2018). Filling an Information Gap in Preschool MTSS and RTI Decision Making. Exceptional Children, 85(3), 271–290. https://doi.org/10.1177/0014402918812473",10.1177/0014402918812473,https://doi.org/10.1177/0014402918812473,Filling an Information Gap in Preschool MTSS and RTI Decision Making,"A tenet of multitiered systems of support and response to intervention (MTSS-RTI) is that lack of response to instructional intervention is explained by classroom experiences and behaviors given opportunities to learn. We investigated the potential of filling this information gap in MTSS-RTI decision making using ecobehavioral observation to inform steps that could be taken for children not responding to preschool literacy instruction. Data analyses indicated that (a) teachers implemented a uniform pattern of daily activities providing children with infrequent opportunity to learn literacy, (b) the proportion of children's co-occurring academic engagement also was low but varied widely depending on the activity and teacher's literacy focus, and (c) children's personal risk characteristics moderated the strength of relationships. Novel was the finding that in some activities and teacher behaviors, teachers appeared to be differentiating instruction benefiting children with individualized education programs and dual-language-learner risk. Implications are discussed.",2019.0,successful,,,,,,education_list,false_positive,7,True,,,education_list: The abstract describes an original ecobehavioral observational investigation of preschool MTSS-RTI decision making and does not state that it is reanalyzing prior data or explicitly attempting to replicate a specific previous study. Therefore it is not a replication or reproduction study. [spreadsheet_type: Conceptual],unmatched,,
"Espin, C. A., van den Bosch, R. M., van der Liende, M., Rippe, R. C. A., Beutick, M., Langa, A., & Mol, S. E. (2021). A Systematic Review of CBM Professional Development Materials: Are Teachers Receiving Sufficient Instruction in Data-Based Decision-Making? Journal of Learning Disabilities, 54(4), 256–268. https://doi.org/10.1177/0022219421997103",10.1177/0022219421997103,A Systematic Review of CBM Professional Development Materials: Are Teachers Receiving Sufficient Instruction in Data-Based Decision-Making?,2021.0,"Fry, E. C., Toste, J. R., Feuer, B. R., & Espin, C. A. (2023). A Systematic Review of CBM Content in Practitioner-Focused Journals: Do We Talk About Instructional Decision-Making? Journal of Learning Disabilities, 57(5), 275–290. https://doi.org/10.1177/00222194231215031",10.1177/00222194231215031,https://doi.org/10.1177/00222194231215031,A Systematic Review of CBM Content in Practitioner-Focused Journals: Do We Talk About Instructional Decision-Making?,"Data-based decision-making (DBDM) using curriculum-based measurement (CBM) data has demonstrated effectiveness in improving academic achievement for students with or at risk for learning disability. Despite substantial evidence supporting DBDM, its use is not common practice for many educators, even those who regularly collect CBM data. One explanation for its lack of widespread use is that educators may not receive adequate training in the DBDM aspects of CBM. Espin et al. examined the extent to which DBDM is represented in CBM professional development (PD) materials and found that the topic was significantly underrepresented (12% to 14% of CBM PD material content) compared with other CBM topics. The purpose of this study was to conduct a conceptual replication of the Espin et al. systematic review through an analysis of CBM content in practitioner journal articles. The present review includes 29 practitioner articles coded to the four CBM categories used in the Espin et al. study: (a) general CBM information, (b) conducting CBM, (c) data-based decision-making, and (d) other. Results revealed a pattern similar to the one found by Espin et al. with approximately 18% of the content of practitioner articles on CBM devoted to the topic of decision-making. These findings strengthen the recommendation from Espin et al. for increased attention to DBDM in CBM training materials.",2023.0,successful,Results revealed a pattern similar to the one found by Espin et al. with approximately 18% of the content of practitioner articles on CBM devoted to the topic of decision-making.,abstract,replication,True,1.0,observatory,already_in_flora,1,False,exact_pair,manual_entry,"observatory: The abstract states this is a 'conceptual replication of the Espin et al. systematic review' and applies the same coding scheme to a new corpus of 29 practitioner articles, so it is a single replication of Espin et al.'s study. | The replication (a conceptual replication of Espin et al.) found a similar pattern—decision-making content was underrepresented (~18%), consistent with the original review's finding of low representation (12–14%), supporting the original conclusion. [outcome_confidence: high]",unmatched,,
,,,,"Rios-Avila, F., & Maroto, M. L. (2022). Moving Beyond Linear Regression: Implementing and Interpreting Quantile Regression Models With Fixed Effects. Sociological Methods &amp; Research, 53(2), 639–682. https://doi.org/10.1177/00491241211036165",10.1177/00491241211036165,https://doi.org/10.1177/00491241211036165,Moving Beyond Linear Regression: Implementing and Interpreting Quantile Regression Models With Fixed Effects,"Quantile regression (QR) provides an alternative to linear regression (LR) that allows for the estimation of relationships across the distribution of an outcome. However, as highlighted in recent research on the motherhood penalty across the wage distribution, different procedures for conditional and unconditional quantile regression (CQR, UQR) often result in divergent findings that are not always well understood. In light of such discrepancies, this paper reviews how to implement and interpret a range of LR, CQR, and UQR models with fixed effects. It also discusses the use of Quantile Treatment Effect (QTE) models as an alternative to overcome some of the limitations of CQR and UQR models. We then review how to interpret results in the presence of fixed effects based on a replication of Budig and Hodges’s work on the motherhood penalty using NLSY79 data.",2022.0,"computation not checked, robustness not checked",we then review how to interpret results in the presence of fixed effects based on a replication of Budig and Hodges’s work on the motherhood penalty using NLSY79 data.,abstract,reproduction,True,1.0,openalex,llm_confirmed,3,False,,,"openalex: The abstract states the paper is based on a replication of Budig and Hodges’s work using NLSY79 data; this indicates a reanalysis of that prior study rather than collection of new data, but the original paper's year/citation is not provided in the abstract. | The title/abstract state the paper includes a replication using NLSY79 data but do not report whether original code/analyses were run or whether robustness checks were performed, so computational success and robustness cannot be determined from the provided text. [outcome_confidence: medium]",unmatched,,
"Gerbner, G., Gross, L., Eleey, M. F., Jackson-Beeck, M., Jeffries-Fox, S., & Signorielli, N. (1977). TV Violence Profile No. 8: The Highlights. Journal of Communication, 27(2), 171–180. https://doi.org/10.1111/j.1460-2466.1977.tb01845.x",10.1111/j.1460-2466.1977.tb01845.x,TV Violence Profile No. 8: The Highlights,1977.0,"Lee, C., & Niederdeppe, J. (2010). Genre-Specific Cultivation Effects. Communication Research, 38(6), 731–753. https://doi.org/10.1177/0093650210384990",10.1177/0093650210384990,https://doi.org/10.1177/0093650210384990,Genre-Specific Cultivation Effects,"Cultivation theory and research has been criticized for its failure to consider variation in effects by genre, employ appropriate third-variable controls, and determine causal direction. Recent studies, controlling for a variety of demographic characteristics and media use variables, have found that exposure to local television (TV) newscasts is associated with a variety of problematic ""real-world"" beliefs. However, many of these studies have not adequately assessed causal direction. Redressing this limitation, we analyzed data from a two-wave national representative survey which permitted tests of lagged association between overall TV viewing, local TV news viewing, and fatalistic beliefs about cancer prevention. We first replicated the original cultivation effect and found a positive association between overall TV viewing at time 1 and increased fatalistic beliefs about cancer prevention at time 2. Analyses also provided evidence that local TV news viewing at time 1 predicts increased fatalistic beliefs about cancer prevention at time 2. There was little evidence for reverse causation in predicting changes in overall TV viewing or local TV news viewing. The paper concludes with a discussion of theoretical and practical implications of these findings.",2010.0,successful,We first replicated the original cultivation effect and found a positive association between overall TV viewing at time 1 and increased fatalistic beliefs about cancer prevention at time 2.,abstract,,True,1.0,openalex,llm_confirmed,5,False,,crossref_llm_search,"openalex: The abstract states the authors 'replicated the original cultivation effect' using a two-wave national survey, so this is a replication of a single prior finding. The abstract does not name the original paper or author(s), nor does it make clear whether the survey data were newly collected by the authors or an existing dataset, so the original study cannot be precisely identified from the abstract and data provenance is unclear. | The abstract states the authors ""replicated the original cultivation effect"" and reports lagged positive associations between TV viewing (overall and local news) at time 1 and increased fatalistic beliefs at time 2, indicating successful replication. The provided putative original (Gerbner, Gross, Eleey 1977) is a TV violence profile; the foundational cultivation effect is typically attributed to Gerbner & Gross (1976). [outcome_confidence: high]",unmatched,,
